Unnamed: 0,Asset ID,Serial Number,Name,Subnet,Associated Racks,Speed,Port Count,Switchmodel,AGG Ports,Helper IP Address,Console Router,Console Routerport,Console Telnetport,Location
0,S2000,SN-160174,switch-001.mocklab.example.com,172.30.21.0/24,Rack-012,40Gbps,48,Juniper-QFX,2,192.168.89.154,router-5.mocklab.example.com,2433,4613,DC-West
1,S2001,SN-378678,switch-002.mocklab.example.com,172.18.37.0/24,Rack-006,1Gbps,24,Juniper-QFX,2,172.27.32.45,router-2.mocklab.example.com,2166,4283,DC-East
2,S2002,SN-489621,switch-003.mocklab.example.com,10.4.115.0/24,Rack-038,10Gbps,24,Arista-7050,2,192.168.131.56,router-5.mocklab.example.com,2706,4610,DC-West
3,S2003,SN-398320,switch-004.mocklab.example.com,192.168.30.0/24,Rack-014,1Gbps,64,Cisco-9300,3,172.23.130.133,router-7.mocklab.example.com,2416,4117,DC-West
4,S2004,SN-344872,switch-005.mocklab.example.com,192.168.2.0/24,Rack-002,1Gbps,24,Arista-7050,3,172.18.89.172,router-4.mocklab.example.com,2127,4333,DC-West
5,S2005,SN-926423,switch-006.mocklab.example.com,172.22.11.0/24,Rack-026,40Gbps,24,Cisco-9300,4,192.168.254.209,router-1.mocklab.example.com,2260,4576,DC-West
6,S2006,SN-200638,switch-007.mocklab.example.com,10.120.104.0/24,Rack-020,25Gbps,24,Cisco-9300,4,192.168.38.237,router-1.mocklab.example.com,2260,4947,DC-East
7,S2007,SN-284338,switch-008.mocklab.example.com,172.20.242.0/24,Rack-028,25Gbps,64,Arista-7050,2,192.168.219.15,router-1.mocklab.example.com,2263,4434,DC-East
8,S2008,SN-456386,switch-009.mocklab.example.com,172.29.161.0/24,Rack-020,1Gbps,64,Arista-7050,7,192.168.86.2,router-3.mocklab.example.com,2600,4825,DC-North
9,S2009,SN-905148,switch-010.mocklab.example.com,192.168.3.0/24,Rack-005,10Gbps,48,Juniper-QFX,2,192.168.5.144,router-1.mocklab.example.com,2615,4282,DC-West
10,S2010,SN-548443,switch-011.mocklab.example.com,172.27.47.0/24,Rack-035,25Gbps,64,Arista-7050,8,10.170.240.211,router-8.mocklab.example.com,2084,4720,DC-West
11,S2011,SN-344135,switch-012.mocklab.example.com,10.98.136.0/24,Rack-010,25Gbps,64,Arista-7050,4,192.168.88.183,router-7.mocklab.example.com,2132,4108,DC-North
12,S2012,SN-401656,switch-013.mocklab.example.com,10.193.143.0/24,Rack-034,40Gbps,24,Cisco-9300,4,192.168.57.95,router-4.mocklab.example.com,2646,4302,DC-North
13,S2013,SN-488494,switch-014.mocklab.example.com,172.27.173.0/24,Rack-049,25Gbps,64,Juniper-QFX,4,10.127.192.22,router-2.mocklab.example.com,2719,4656,DC-West
14,S2014,SN-754676,switch-015.mocklab.example.com,10.127.187.0/24,Rack-040,10Gbps,64,Cisco-9300,2,10.178.104.56,router-10.mocklab.example.com,2175,4383,DC-North
15,S2015,SN-137728,switch-016.mocklab.example.com,192.168.65.0/24,Rack-039,10Gbps,64,Juniper-QFX,5,192.168.14.96,router-9.mocklab.example.com,2318,4187,DC-North
16,S2016,SN-949693,switch-017.mocklab.example.com,172.19.207.0/24,Rack-004,10Gbps,48,Arista-7050,7,192.168.45.134,router-8.mocklab.example.com,2802,4956,DC-North
17,S2017,SN-892171,switch-018.mocklab.example.com,172.17.24.0/24,Rack-012,1Gbps,48,Cisco-9300,5,10.74.44.211,router-7.mocklab.example.com,2312,4449,DC-East
18,S2018,SN-956558,switch-019.mocklab.example.com,10.139.83.0/24,Rack-012,10Gbps,24,Cisco-9300,5,192.168.15.39,router-7.mocklab.example.com,2250,4734,DC-East
19,S2019,SN-559027,switch-020.mocklab.example.com,192.168.208.0/24,Rack-048,10Gbps,24,Arista-7050,6,10.103.80.75,router-5.mocklab.example.com,2672,4652,DC-West
20,S2020,SN-207725,switch-021.mocklab.example.com,192.168.76.0/24,Rack-046,1Gbps,48,Arista-7050,6,10.204.127.172,router-7.mocklab.example.com,2817,4388,DC-West
21,S2021,SN-456841,switch-022.mocklab.example.com,172.19.155.0/24,Rack-007,25Gbps,64,Arista-7050,2,192.168.222.175,router-2.mocklab.example.com,2265,4632,DC-North
22,S2022,SN-484910,switch-023.mocklab.example.com,172.17.108.0/24,Rack-039,25Gbps,64,Cisco-9300,5,172.30.102.219,router-3.mocklab.example.com,2822,4467,DC-North
23,S2023,SN-270140,switch-024.mocklab.example.com,172.22.30.0/24,Rack-027,1Gbps,64,Arista-7050,5,172.27.167.251,router-9.mocklab.example.com,2934,4116,DC-West
24,S2024,SN-425713,switch-025.mocklab.example.com,10.21.11.0/24,Rack-017,25Gbps,24,Juniper-QFX,3,192.168.151.17,router-8.mocklab.example.com,2505,4526,DC-West
25,S2025,SN-610488,switch-026.mocklab.example.com,172.16.220.0/24,Rack-047,1Gbps,48,Juniper-QFX,5,10.236.17.28,router-5.mocklab.example.com,2964,4125,DC-East
26,S2026,SN-742358,switch-027.mocklab.example.com,172.24.50.0/24,Rack-001,25Gbps,24,Cisco-9300,8,192.168.207.121,router-1.mocklab.example.com,2696,4841,DC-East
27,S2027,SN-974188,switch-028.mocklab.example.com,172.26.184.0/24,Rack-019,25Gbps,24,Juniper-QFX,2,192.168.204.25,router-9.mocklab.example.com,2074,4477,DC-North
28,S2028,SN-653729,switch-029.mocklab.example.com,172.31.232.0/24,Rack-050,40Gbps,48,Cisco-9300,2,172.17.135.114,router-6.mocklab.example.com,2100,4287,DC-East
29,S2029,SN-595394,switch-030.mocklab.example.com,10.109.248.0/24,Rack-015,25Gbps,64,Juniper-QFX,3,192.168.159.62,router-10.mocklab.example.com,2641,4959,DC-East
30,S2030,SN-809222,switch-031.mocklab.example.com,10.41.164.0/24,Rack-027,10Gbps,48,Arista-7050,6,10.113.224.222,router-6.mocklab.example.com,2564,4152,DC-East
31,S2031,SN-442735,switch-032.mocklab.example.com,192.168.91.0/24,Rack-030,25Gbps,24,Arista-7050,8,10.210.21.13,router-10.mocklab.example.com,2232,4324,DC-East
32,S2032,SN-992573,switch-033.mocklab.example.com,192.168.179.0/24,Rack-036,1Gbps,48,Arista-7050,3,10.225.16.161,router-5.mocklab.example.com,2525,4874,DC-North
33,S2033,SN-148680,switch-034.mocklab.example.com,10.188.24.0/24,Rack-013,10Gbps,24,Cisco-9300,5,192.168.215.196,router-8.mocklab.example.com,2283,4614,DC-East
34,S2034,SN-646601,switch-035.mocklab.example.com,172.25.145.0/24,Rack-011,25Gbps,24,Cisco-9300,5,172.21.179.197,router-4.mocklab.example.com,2252,4543,DC-North
35,S2035,SN-237432,switch-036.mocklab.example.com,172.17.226.0/24,Rack-023,25Gbps,64,Cisco-9300,4,192.168.62.215,router-10.mocklab.example.com,2390,4184,DC-West
36,S2036,SN-266125,switch-037.mocklab.example.com,192.168.78.0/24,Rack-026,40Gbps,48,Juniper-QFX,6,172.31.158.97,router-3.mocklab.example.com,2414,4682,DC-West
37,S2037,SN-132717,switch-038.mocklab.example.com,172.26.134.0/24,Rack-028,40Gbps,64,Juniper-QFX,2,10.110.99.35,router-6.mocklab.example.com,2345,4717,DC-East
38,S2038,SN-423218,switch-039.mocklab.example.com,10.44.111.0/24,Rack-049,1Gbps,24,Cisco-9300,2,172.21.166.185,router-5.mocklab.example.com,2197,4590,DC-West
39,S2039,SN-898810,switch-040.mocklab.example.com,172.20.185.0/24,Rack-027,10Gbps,48,Arista-7050,4,10.215.78.118,router-7.mocklab.example.com,2807,4143,DC-West
40,S2040,SN-626412,switch-041.mocklab.example.com,172.22.85.0/24,Rack-039,40Gbps,24,Cisco-9300,8,172.23.57.105,router-10.mocklab.example.com,2234,4688,DC-West
41,S2041,SN-974719,switch-042.mocklab.example.com,172.16.0.0/24,Rack-005,25Gbps,48,Arista-7050,8,192.168.210.54,router-8.mocklab.example.com,2251,4351,DC-West
42,S2042,SN-883479,switch-043.mocklab.example.com,172.26.15.0/24,Rack-019,25Gbps,64,Cisco-9300,2,172.18.24.209,router-2.mocklab.example.com,2840,4627,DC-North
43,S2043,SN-657035,switch-044.mocklab.example.com,172.25.190.0/24,Rack-013,40Gbps,64,Juniper-QFX,3,192.168.194.96,router-5.mocklab.example.com,2415,4399,DC-West
44,S2044,SN-145103,switch-045.mocklab.example.com,192.168.26.0/24,Rack-039,10Gbps,64,Juniper-QFX,8,192.168.111.153,router-3.mocklab.example.com,2391,4091,DC-East
45,S2045,SN-923417,switch-046.mocklab.example.com,172.25.187.0/24,Rack-030,40Gbps,64,Arista-7050,4,172.30.77.115,router-5.mocklab.example.com,2540,4953,DC-North
46,S2046,SN-574190,switch-047.mocklab.example.com,192.168.196.0/24,Rack-015,25Gbps,48,Cisco-9300,4,172.21.61.75,router-6.mocklab.example.com,2494,4959,DC-West
47,S2047,SN-322189,switch-048.mocklab.example.com,192.168.250.0/24,Rack-034,25Gbps,24,Cisco-9300,3,10.23.94.1,router-1.mocklab.example.com,2331,4846,DC-North
48,S2048,SN-562578,switch-049.mocklab.example.com,10.65.150.0/24,Rack-027,1Gbps,24,Cisco-9300,6,192.168.56.45,router-10.mocklab.example.com,2339,4228,DC-North
49,S2049,SN-895109,switch-050.mocklab.example.com,10.254.200.0/24,Rack-001,40Gbps,48,Arista-7050,5,10.166.80.212,router-6.mocklab.example.com,2485,4200,DC-West
